Open_Time,Open,High,Low,Close,Volume
2021-05-20 00:00:00,34.959,44.134,32.159,43.235,8499395
2021-05-20 12:00:00,43.253,52.216,42.39,44.431,12239420
2021-05-21 00:00:00,44.426,47.755,40.965,42.23,6086719
2021-05-21 12:00:00,42.226,42.658,33.691,38.921,9911232
2021-05-22 00:00:00,38.931,40.0,34.634,36.972,5509825
2021-05-22 12:00:00,36.97,38.339,31.123,31.225,6835849
2021-05-23 00:00:00,31.223,32.393,21.227,25.661,17047121
2021-05-23 12:00:00,25.647,26.231,19.127,24.517,22029088
2021-05-24 00:00:00,24.5,30.325,24.499,30.26,10956826
2021-05-24 12:00:00,30.271,32.199,28.6,31.417,9488977
2021-05-25 00:00:00,31.433,33.2,25.939,26.279,9485285
2021-05-25 12:00:00,26.29,31.346,26.101,30.007,7501086
2021-05-26 00:00:00,30.003,36.385,28.787,36.199,7111205
2021-05-26 12:00:00,36.206,37.29,32.724,35.42,6162098
2021-05-27 00:00:00,35.419,35.628,31.01,35.024,5281347
2021-05-27 12:00:00,35.043,35.448,33.055,33.779,4496008
2021-05-28 00:00:00,33.779,34.561,28.239,28.501,5390044
2021-05-28 12:00:00,28.482,31.833,27.965,28.993,5552015
2021-05-29 00:00:00,29.002,30.065,27.737,28.729,3846529
2021-05-29 12:00:00,28.724,28.742,25.704,27.38,4951563
2021-05-30 00:00:00,27.368,29.759,25.618,29.407,4725352
2021-05-30 12:00:00,29.397,29.472,27.4,28.59,4082943
2021-05-31 00:00:00,28.582,32.409,27.513,31.559,5468926
2021-05-31 12:00:00,31.559,33.017,30.545,32.749,5742566
2021-06-01 00:00:00,32.749,33.33,30.594,32.04,5117325
2021-06-01 12:00:00,32.048,32.283,29.8,30.955,4985683
2021-06-02 00:00:00,30.942,32.578,30.4,32.424,3446894
2021-06-02 12:00:00,32.422,35.0,32.4,33.994,5141804
2021-06-03 00:00:00,33.988,37.697,33.713,36.745,5872712
2021-06-03 12:00:00,36.753,41.356,36.134,39.627,10066321
2021-06-04 00:00:00,39.646,39.746,34.874,35.594,9024910
2021-06-04 12:00:00,35.58,39.159,34.225,37.37,7392284
2021-06-05 00:00:00,37.365,42.786,36.995,40.029,9612461
2021-06-05 12:00:00,40.042,41.499,37.488,39.658,10209964
2021-06-06 00:00:00,39.649,41.468,38.932,40.576,6310597
2021-06-06 12:00:00,40.58,43.47,40.229,42.199,9243825
2021-06-07 00:00:00,42.201,44.193,41.686,43.29,7264455
2021-06-07 12:00:00,43.288,44.1,37.926,38.247,11505800
2021-06-08 00:00:00,38.248,39.794,34.734,37.239,12928819
2021-06-08 12:00:00,37.234,42.558,33.55,41.229,17817792
2021-06-09 00:00:00,41.252,43.93,39.26,43.508,14235575
2021-06-09 12:00:00,43.516,44.018,40.933,42.024,11261792
2021-06-10 00:00:00,42.034,43.0,40.6,41.968,7184696
2021-06-10 12:00:00,41.958,42.292,39.434,41.09,6858322
2021-06-11 00:00:00,41.09,41.361,38.325,39.319,6009822
2021-06-11 12:00:00,39.332,39.998,35.11,36.162,7442611
2021-06-12 00:00:00,36.157,36.674,34.18,36.615,9148680
2021-06-12 12:00:00,36.611,37.615,36.124,36.474,5450878
2021-06-13 00:00:00,36.459,37.349,35.299,35.862,4305198
2021-06-13 12:00:00,35.857,39.422,34.708,38.708,7202990
2021-06-14 00:00:00,38.706,39.2,36.988,37.343,4223605
2021-06-14 12:00:00,37.344,40.553,36.6,39.672,7221304
2021-06-15 00:00:00,39.678,41.74,39.309,40.535,5916330
2021-06-15 12:00:00,40.543,41.517,39.119,39.54,4871893
2021-06-16 00:00:00,39.539,39.9,37.702,38.093,3930621
2021-06-16 12:00:00,38.092,41.7,37.48,39.677,10285326
2021-06-17 00:00:00,39.684,41.225,39.408,40.643,4364521
2021-06-17 12:00:00,40.644,40.752,38.25,39.269,5825661
